Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Serving Size (g/ml),Calories from Protein,Calories from Carbohydrates,High Risk,Health Risk Score,% Calories from Fat,% Calories from Protein,% Calories from Carbohydrates,Cluster,New Saturated Fat,New Health Risk Score
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430,171.0,19.0,29,3.0,15,0.0,45,14,910,38,43,14,2,7,7,21,4,2,15,15,5.0,84,172,False,920.0,39.76744186046511,19.53488372093023,40.0,0,2.4000000000000004,919.4
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),480,216.0,24.0,38,7.0,35,0.0,65,21,1260,53,43,14,2,8,6,22,4,10,20,15,6.0,88,172,False,1273.0,45.0,18.333333333333332,35.833333333333336,4,5.6000000000000005,1271.6
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),630,288.0,32.0,49,9.0,45,0.5,80,26,1540,64,56,19,3,13,7,32,60,20,20,20,11.0,128,224,True,1556.0,45.714285714285715,20.317460317460316,35.55555555555556,4,7.2,1554.2
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),480,171.0,19.0,28,7.0,36,0.0,95,32,1370,57,42,14,3,13,6,36,60,25,20,20,10.0,144,168,False,1383.0,35.625,30.0,35.0,4,5.6000000000000005,1381.6
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),610,279.0,31.0,47,8.0,40,0.5,65,21,1340,56,56,19,3,14,8,27,60,15,20,20,10.0,108,224,True,1356.0,45.73770491803278,17.704918032786885,36.721311475409834,4,6.4,1354.4
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),450,162.0,18.0,27,6.0,31,0.5,80,27,1170,49,42,14,3,14,6,30,60,15,15,20,10.0,120,168,False,1182.0,36.0,26.666666666666668,37.333333333333336,4,4.800000000000001,1180.8
Chicken & Fish,Chicken McNuggets (10 piece),5.7 oz (162 g),470,270.0,30.0,45,5.0,25,0.0,65,22,900,37,30,10,2,6,0,22,0,4,2,6,5.0,88,120,False,905.0,57.446808510638306,18.72340425531915,25.53191489361702,4,4.0,904.0
Chicken & Fish,Chicken McNuggets (20 piece),11.4 oz (323 g),940,531.0,59.0,91,10.0,50,0.0,135,44,1800,75,59,20,3,12,0,44,0,8,4,10,11.0,176,236,True,1810.0,56.48936170212766,18.72340425531915,25.106382978723403,2,8.0,1808.0
Chicken & Fish,Chicken McNuggets (40 piece),22.8 oz (646 g),1880,1062.0,118.0,182,20.0,101,1.0,265,89,3600,150,118,39,6,24,1,87,0,15,8,25,22.0,348,472,True,3621.0,56.48936170212766,18.51063829787234,25.106382978723403,2,16.0,3617.0
Salads,Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),380,189.0,21.0,33,6.0,29,0.0,70,23,860,36,22,7,2,10,5,25,100,25,15,8,9.0,100,88,False,871.0,49.73684210526316,26.31578947368421,23.157894736842106,0,4.800000000000001,869.8
Salads,Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),220,72.0,8.0,13,4.0,20,0.0,85,29,690,29,8,3,2,10,4,29,110,30,15,8,8.0,116,32,False,698.0,32.72727272727273,52.72727272727272,14.545454545454545,0,3.2,697.2
